40.74,-74.00,2,newyork,New York,5
40.75,-74.00,2,newyork,New York,5
40.745,-73.990,3,newyork,New York,0.5
40.748,-73.990,3,newyork,New York,0.5
40.751,-73.990,3,newyork,New York,0.5
40.754,-73.990,3,newyork,New York,0.5
40.7460,-73.9931,4,newyork,New York,0.03
40.7467,-73.9931,4,newyork,New York,0.03
40.7474,-73.9931,4,newyork,New York,0.03
40.7481,-73.9931,4,newyork,New York,0.03
40.7488,-73.9931,4,newyork,New York,0.03
40.7495,-73.9931,4,newyork,New York,0.03
40.7502,-73.9931,4,newyork,New York,0.03
40.7509,-73.9931,4,newyork,New York,0.03
40.74,-73.99,2,newyork,New York,5
40.75,-73.99,2,newyork,New York,5
40.745,-73.993,3,newyork,New York,0.5
40.748,-73.993,3,newyork,New York,0.5
40.751,-73.993,3,newyork,New York,0.5
40.7460,-73.9938,4,newyork,New York,0.03
40.7467,-73.9938,4,newyork,New York,0.03
40.7474,-73.9938,4,newyork,New York,0.03
40.7481,-73.9938,4,newyork,New York,0.03
40.7488,-73.9938,4,newyork,New York,0.03
40.7495,-73.9938,4,newyork,New York,0.03
40.7502,-73.9938,4,newyork,New York,0.03
40.7509,-73.9938,4,newyork,New York,0.03
